Entidad federativa,Grupos quinquenales de edad,2010 Total,2010 Hombres,2010 Mujeres,2011 Total,2011 Hombres,2011 Mujeres,2012 Total,2012 Hombres,2012 Mujeres,2013 Total,2013 Hombres,2013 Mujeres,2014 Total,2014 Hombres,2014 Mujeres,2015 Total,2015 Hombres,2015 Mujeres,2016 Total,2016 Hombres,2016 Mujeres,2017 Total,2017 Hombres,2017 Mujeres
Hidalgo,No especificado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalisco,Total,399,313,86,453,347,106,508,402,106,481,390,91,506,414,92,527,416,111,597,476,121,658,524,133
Jalisco,10 a 14 años,11,6,5,21,12,9,17,10,7,8,6,2,20,12,8,10,4,6,14,6,8,17,7,10
Jalisco,15 a 19 años,66,49,17,62,45,17,76,59,17,68,43,25,61,45,16,80,57,23,70,47,23,71,50,21
Jalisco,20 a 24 años,61,46,15,65,46,19,83,67,16,85,66,19,74,64,10,72,54,18,82,70,12,102,78,24
Jalisco,25 a 29 años,51,38,13,65,50,15,55,48,7,53,46,7,65,57,8,52,39,13,71,59,12,83,65,18
Jalisco,30 a 34 años,41,33,8,40,27,13,61,48,13,51,45,6,59,44,15,47,40,7,70,61,9,85,77,8
Jalisco,35 a 39 años,35,28,7,40,32,8,57,47,10,56,52,4,42,40,2,61,48,13,53,43,10,77,64,13
Jalisco,40 a 44 años,30,25,5,48,42,6,50,38,12,48,38,10,51,42,9,57,47,10,61,43,18,54,42,12
Jalisco,45 a 49 años,23,18,5,27,22,5,30,20,10,30,25,5,42,31,11,29,25,4,45,37,8,51,42,9
Jalisco,50 a 54 años,20,17,3,26,21,5,14,11,3,15,13,2,26,22,4,28,21,7,29,26,3,30,26,4
Jalisco,55 a 59 años,18,16,2,16,13,3,15,13,2,20,16,4,20,14,6,30,27,3,23,18,5,13,10,3
Jalisco,60 años y más,43,37,6,38,33,5,50,41,9,44,37,7,41,38,3,54,48,6,62,50,12,54,46,8
Jalisco,No especificado,0,0,0,5,4,1,0,0,0,3,3,0,5,5,0,7,6,1,17,16,1,21,17,3
México,Total,537,405,132,600,459,140,598,456,142,620,477,143,670,507,163,667,507,160,579,450,129,570,428,142
México,10 a 14 años,35,19,16,32,19,13,35,18,17,37,22,15,47,27,20,34,18,16,38,14,24,37,15,22
México,15 a 19 años,121,84,37,117,68,49,104,77,27,100,70,30,102,68,34,136,86,50,88,58,30,112,70,42
México,20 a 24 años,87,61,26,119,94,25,118,94,24,120,98,22,123,97,26,108,79,29,116,96,20,89,69,20
México,25 a 29 años,62,51,11,79,61,18,82,68,14,77,65,12,85,62,23,94,77,17,72,60,12,74,63,11
México,30 a 34 años,53,41,12,54,46,8,67,45,22,63,46,17,65,49,16,73,65,8,55,43,12,57,45,12
México,35 a 39 años,51,45,6,49,42,7,53,39,14,52,37,15,66,52,14,57,42,15,63,54,9,49,38,11
México,40 a 44 años,33,23,10,41,35,6,46,36,10,46,34,12,36,30,6,45,39,6,52,44,8,48,36,12
México,45 a 49 años,26,20,6,31,25,5,30,24,6,34,26,8,44,35,9,41,33,8,22,18,4,30,28,2
México,50 a 54 años,25,24,1,26,23,3,15,11,4,19,18,1,28,22,6,28,23,5,23,21,2,21,20,1
México,55 a 59 años,9,7,2,13,11,2,6,6,0,35,28,7,24,24,0,14,12,2,15,11,4,16,13,3
México,60 años y más,34,29,5,36,33,3,42,38,4,33,30,3,49,40,9,36,32,4,32,29,3,37,31,6
